Product_ID,Product_Name,Category,Sub_Category,Price,Supplier
PROD00044,Prestige Men T-Shirt,Fashion,Men T-Shirt,6098,Reliance Retail
PROD00045,Reliance Men T-Shirt,Fashion,Men T-Shirt,7342,Croma
PROD00046,Puma Television,Electronics,Television,78001,Tata Consumer
PROD00047,LG Handbag,Fashion,Handbag,6225,Godrej Consumer
PROD00048,Puma Children Book,Books,Children Book,2087,Vijay Sales
PROD00049,Samsung Men T-Shirt,Fashion,Men T-Shirt,5698,Vijay Sales
PROD00050,Godrej Sofa,Home & Kitchen,Sofa,31106,Reliance Retail
PROD00051,Reliance Cricket Bat,Sports,Cricket Bat,13693,Croma
PROD00052,Puma Rice,Grocery,Rice,834,DMart
PROD00053,LG Children Book,Books,Children Book,1878,Amazon Seller
PROD00054,Puma Sofa,Home & Kitchen,Sofa,5440,
PROD00055,Samsung Spices,Grocery,Spices,257,ITC Limited
PROD00056,Prestige Rice,Grocery,Rice,1018,Amazon Seller
PROD00057,HP Lipstick,Beauty,Lipstick,1851,Vijay Sales
PROD00058,Aashirvaad Laptop,Electronics,Laptop,5565,Vijay Sales
PROD00059,Adidas Sofa,Home & Kitchen,Sofa,28222,ITC Limited
PROD00060,LG Badminton Racket,Sports,Badminton Racket,6722,BigBasket
PROD00061,Mi Men T-Shirt,FASHION,Men T-Shirt,6327,ITC Limited
PROD00062,Reliance Smart Watch,Electronics,Smart Watch,18144,Godrej Consumer
PROD00063,Reliance Shampoo,Beauty,Shampoo,4260,Flipkart Seller
PROD00064,Prestige Cooking Oil,Grocery,Cooking Oil,2487,Flipkart Seller
PROD00065,Aashirvaad Football,Sports,Football,4428,Godrej Consumer
PROD00066,OnePlus Handbag,Fashion,Handbag,625,Godrej Consumer
PROD00067,Mi Headphones,Electronics,Headphones,142044,Croma
PROD00068,Boat Pressure Cooker,Home & Kitchen,Pressure Cooker,16142,BigBasket
PROD00069,Adidas Shampoo,Beauty,Shampoo,3845,Croma
PROD00070,Tata Rice,Grocery,Rice,1927,Godrej Consumer
PROD00071,Prestige Academic Book,Books,Academic Book,2352,DMart
PROD00072,LG Biography,Books,Biography,1579,Flipkart Seller
PROD00073,Adidas Jeans,Fashion,Jeans,1592,Tata Consumer
PROD00074,Adidas Spices,Grocery,Spices,2555,ITC Limited
PROD00075,Adidas Television,Electronics,Television,32154,Amazon Seller
PROD00076,Samsung Mixer Grinder,Home & Kitchen,Mixer Grinder,49155,ITC Limited
PROD00077,Adidas Jeans,Fashion,Jeans,5254,DMart
PROD00078,Bajaj Dumbbell,Sports,Dumbbell,23027,BigBasket
PROD00079,Nike Children Book,Books,Children Book,358,Flipkart Seller
PROD00080,Nike Badminton Racket,Sports,Badminton Racket,1944,Reliance Retail
PROD00081,Nike Pressure Cooker,Home & Kitchen,Pressure Cooker,11089,Tata Consumer
PROD00082,Apple Children Book,Books,Children Book,189,Flipkart Seller
PROD00083,Apple Laptop,Electronics,Laptop,14444,Croma
PROD00084,Godrej Novel,Books,Novel,672,Reliance Retail
PROD00085,Reliance Dining Table,Home & Kitchen,Dining Table,23949,DMart
PROD00086,Samsung Football,Sports,Football,12089,ITC Limited
PROD00087,OnePlus Biscuits,Grocery,Biscuits,683,DMart
PROD00088,Sony Cooking Oil,Grocery,Cooking Oil,1738,Reliance Retail
PROD00089,Godrej Jeans,Fashion,Jeans,6871,DMart
PROD00090,Samsung Pressure Cooker,Home & Kitchen,Pressure Cooker,25570,Reliance Retail
PROD00091,Puma Biscuits,Grocery,Biscuits,867,Tata Consumer
PROD00092,Puma Dining Table,Home & Kitchen,Dining Table,15109,Reliance Retail
PROD00093,Aashirvaad Football,Sports,Football,11256,BigBasket
PROD00094,Nike Rice,Grocery,Rice,1488,ITC Limited
PROD00095,Tata Perfume,Beauty,Perfume,1044,BigBasket
PROD05123,Puma Shampoo,Beauty,Shampoo,1237,Tata Consumer
PROD00097,Amul Children Book,Books,Children Book,1434,Vijay Sales
PROD00098,Aashirvaad Academic Book,Books,Academic Book,928,BigBasket
PROD00099,Tata Headphones,Electronics,Headphones,141293,ITC Limited
PROD00100,Amul Football,Sports,Football,14632,Flipkart Seller
PROD00101,OnePlus Dumbbell,Sports,Dumbbell,10786,Flipkart Seller
PROD00102,Lenovo Dumbbell,Sports,Dumbbell,10634,Vijay Sales
PROD00103,Adidas Sofa,Home & Kitchen,Sofa,36833,Amazon Seller
PROD00104,Aashirvaad Shoes,Fashion,Shoes,5848,Amazon Seller
PROD00105,Aashirvaad Biography,Books,Biography,2394,Reliance Retail
PROD00106,Bajaj Dining Table,Home & Kitchen,Dining Table,28673,Godrej Consumer
PROD00107,Dell Biography,Books,Biography,1959,Tata Consumer
PROD00108,Lenovo Football,Sports,Football,16005,Amazon Seller
PROD00109,Adidas Cricket Bat,Sports,Cricket Bat,17390,Godrej Consumer
PROD00110,Puma Mixer Grinder,Home & Kitchen,Mixer Grinder,44592,BigBasket
PROD00111,LG Women Dress,Fashion,Women Dress,500,Reliance Retail
PROD00112,OnePlus Shoes,Fashion,Shoes,7261,Flipkart Seller
PROD00113,Mi Lipstick,Beauty,Lipstick,1692,Vijay Sales
PROD00114,Puma Lipstick,Beauty,Lipstick,1308,Reliance Retail
PROD00115,Godrej Rice,Grocery,Rice,946,Amazon Seller
PROD00116,Dell Spices,Grocery,Spices,255,ITC Limited
PROD00117,Dell Men T-Shirt,Fashion,Men T-Shirt,1392,Tata Consumer
PROD00118,Dell Dumbbell,Sports,Dumbbell,20575,ITC Limited
PROD00119,Sony Lipstick,Beauty,Lipstick,3988,Tata Consumer
PROD00120,Nike Pressure Cooker,Home & Kitchen,Pressure Cooker,34663,Tata Consumer
PROD00121,Nike Football,Sports,Football,14913,Flipkart Seller
PROD00122,Puma Dumbbell,Sports,Dumbbell,9403,Croma
PROD00123,Prestige LED Lamp,Home & Kitchen,LED Lamp,9568,Amazon Seller
PROD00124,LG Shoes,Fashion,Shoes,6086,DMart
PROD00125,Godrej Headphones,Electronics,Headphones,91738,ITC Limited
PROD00126,Reliance Lipstick,Beauty,Lipstick,1794,Vijay Sales
PROD00127,Mi Face Wash,Beauty,Face Wash,3216,Tata Consumer
PROD00128,Adidas Smart Watch,Electronics,Smart Watch,107232,Vijay Sales
PROD00129,HP Novel,Books,Novel,1048,BigBasket
PROD00130,Tata Lipstick,Beauty,Lipstick,3285,Croma
PROD00131,Sony Badminton Racket,Sports,Badminton Racket,28041,Tata Consumer
PROD00132,Apple Handbag,Fashion,Handbag,520,Vijay Sales
PROD00133,Prestige Academic Book,Books,Academic Book,1905,Amazon Seller
PROD00134,Sony Biscuits,Grocery,Biscuits,255,BigBasket
PROD00135,Bajaj Perfume,Beauty,Perfume,3824,Croma
PROD00136,Nike Sofa,Home & Kitchen,Sofa,49783,Vijay Sales
PROD00137,HP Mixer Grinder,Home & Kitchen,Mixer Grinder,1770,ITC Limited
PROD00138,Puma Smart Watch,Electronics,Smart Watch,22987,Reliance Retail
PROD00139,Puma Rice,Grocery,Rice,866,Reliance Retail
PROD00140,Puma Novel,Books,Novel,667,Tata Consumer
PROD00141,Mi Cricket Bat,Sports,Cricket Bat,7642,Tata Consumer
PROD00142,Amul Dumbbell,Sports,Dumbbell,5998,Godrej Consumer
PROD00143,Sony Academic Book,Books,Academic Book,1424,Flipkart Seller
PROD00144,Adidas Academic Book,Books,Academic Book,1687,Vijay Sales
PROD00145,Prestige Football,Sports,Football,19901,DMart
PROD00146,OnePlus Smart Watch,Electronics,Smart Watch,36733,Godrej Consumer
PROD00147,Amul Rice,Grocery,Rice,2232,Vijay Sales
PROD00148,Prestige Dumbbell,Sports,Dumbbell,17079,Croma
PROD00149,HP Headphones,Electronics,Headphones,32666,Vijay Sales
PROD00150,LG Sofa,Home & Kitchen,Sofa,29040,Amazon Seller
PROD00151,OnePlus Dumbbell,Sports,Dumbbell,26983,ITC Limited
PROD00152,Dell Biscuits,Grocery,Biscuits,1834,Godrej Consumer
PROD00153,Puma Dining Table,Home & Kitchen,Dining Table,6179,BigBasket
PROD00154,Dell Shampoo,Beauty,Shampoo,4768,Godrej Consumer
PROD00155,Boat Badminton Racket,Sports,Badminton Racket,1440,Tata Consumer
PROD00156,Sony Tea Powder,Grocery,Tea Powder,2047,DMart
PROD00157,Boat Dining Table,Home & Kitchen,Dining Table,18827,Godrej Consumer
PROD00158,Apple Dumbbell,Sports,Dumbbell,832,ITC Limited
PROD00159,Puma Men T-Shirt,Fashion,Men T-Shirt,6198,Vijay Sales
PROD00160,HP Shampoo,Beauty,Shampoo,4120,Tata Consumer
PROD00161,Prestige Rice,Grocery,Rice,1255,DMart
PROD00162,Adidas Shampoo,Beauty,Shampoo,4864,Croma
PROD00163,Godrej Perfume,Beauty,Perfume,4608,Croma
PROD00164,Nike Sofa,Home & Kitchen,Sofa,20594,BigBasket
PROD00165,Bajaj Men T-Shirt,Fashion,Men T-Shirt,2884,Flipkart Seller
PROD00166,Bajaj Football,Sports,Football,7590,Tata Consumer
PROD00167,Lenovo LED Lamp,Home & Kitchen,LED Lamp,39611,BigBasket
PROD00168,Adidas Laptop,Electronics,Laptop,64633,Croma
PROD00169,Tata Jeans,Fashion,Jeans,6100,ITC Limited
PROD00170,Reliance Jeans,Fashion,Jeans,746,ITC Limited
PROD00171,HP Pressure Cooker,Home & Kitchen,Pressure Cooker,7223,Reliance Retail
PROD00172,HP Biography,Books,Biography,2110,Tata Consumer
PROD00173,Reliance Pressure Cooker,Home & Kitchen,Pressure Cooker,17046,Tata Consumer
PROD00174,Aashirvaad Mobile,Electronics,Mobile,133908,Flipkart Seller
PROD00175,LG Academic Book,Books,Academic Book,761,Godrej Consumer
PROD00176,Puma Mixer Grinder,Home & Kitchen,,8262,ITC Limited
PROD00177,OnePlus Biscuits,Grocery,Biscuits,2491,Godrej Consumer
PROD00178,Aashirvaad Handbag,Fashion,Handbag,3990,Tata Consumer
PROD00179,Godrej LED Lamp,Home & Kitchen,LED Lamp,20513,Godrej Consumer
PROD00180,OnePlus Academic Book,Books,Academic Book,556,DMart
PROD00181,Nike Football,Sports,Football,22140,Flipkart Seller
PROD00182,Sony Women Dress,Fashion,Women Dress,4821,Flipkart Seller
PROD00183,Godrej Men T-Shirt,Fashion,Men T-Shirt,3990,Godrej Consumer
PROD00184,Reliance Perfume,Beauty,Perfume,1996,BigBasket
PROD00185,Dell Dumbbell,Sports,Dumbbell,2832,DMart
PROD00186,Bajaj LED Lamp,Home & Kitchen,LED Lamp,28361,Flipkart Seller
PROD00187,LG Novel,Books,Novel,1238,Amazon Seller
PROD00188,Sony Mobile,Electronics,Mobile,85638,Godrej Consumer
PROD00189,Dell Dumbbell,Sports,Dumbbell,4574,Tata Consumer
PROD00190,Aashirvaad Dumbbell,Sports,Dumbbell,9420,ITC Limited
PROD00191,Dell Children Book,Books,Children Book,479,Godrej Consumer
PROD00192,Boat Headphones,Electronics,Headphones,70632,Reliance Retail
PROD00193,Mi Laptop,Electronics,Laptop,10438,BigBasket
PROD00194,Sony Academic Book,Books,Academic Book,2077,ITC Limited
PROD00195,Nike Badminton Racket,Sports,Badminton Racket,6447,Godrej Consumer
PROD00196,Prestige Lipstick,Beauty,Lipstick,3950,Croma
PROD00197,Boat Perfume,Beauty,Perfume,956,Amazon Seller
PROD00198,HP Sofa,Home & Kitchen,Sofa,19388,Vijay Sales
PROD00199,Reliance Spices,Grocery,Spices,1912,Flipkart Seller
PROD00200,Boat Dining Table,Home & Kitchen,Dining Table,8097,Vijay Sales
PROD00201,Tata Spices,Grocery,Spices,2743,ITC Limited
PROD00202,Reliance Lipstick,Beauty,Lipstick,1636,ITC Limited
PROD00203,HP LED Lamp,Home & Kitchen,LED Lamp,41486,Tata Consumer
PROD00204,Bajaj Rice,Grocery,Rice,1143,ITC Limited
PROD00205,,Fashion,Jeans,7515,Tata Consumer
PROD00206,OnePlus Mobile,Electronics,Mobile,67730,Amazon Seller
PROD00207,Tata LED Lamp,Home & Kitchen,LED Lamp,36692,Vijay Sales
PROD00208,Samsung Laptop,Electronics,Laptop,125965,Flipkart Seller
PROD00209,HP Football,Sports,Football,23981,BigBasket
PROD00210,Godrej Biography,Books,Biography,2126,Tata Consumer
PROD00211,Apple Shoes,Fashion,Shoes,1484,Vijay Sales
PROD00212,Lenovo Handbag,Fashion,Handbag,6413,Amazon Seller
PROD00213,Nike Rice,Grocery,Rice,1749,Croma
PROD00214,Nike Spices,Grocery,Spices,60,BigBasket
PROD00215,Mi Dumbbell,Sports,Dumbbell,19502,Tata Consumer
PROD00216,Dell Cooking Oil,Grocery,Cooking Oil,2256,Tata Consumer
PROD00217,Apple Dining Table,Home & Kitchen,Dining Table,36114,Vijay Sales
PROD00218,Bajaj Perfume,Beauty,Perfume,2056,Godrej Consumer
PROD00219,Godrej Shampoo,Beauty,Shampoo,457,
PROD00220,Aashirvaad Badminton Racket,Sports,Badminton Racket,13151,Amazon Seller
PROD00221,LG Face Wash,Beauty,Face Wash,4214,Godrej Consumer
PROD00222,Dell Mixer Grinder,Home & Kitchen,Mixer Grinder,7034,ITC Limited
PROD00223,LG Face Wash,Beauty,Face Wash,3458,Amazon Seller
PROD00224,Nike Headphones,Electronics,Headphones,93751,Godrej Consumer
PROD00225,Prestige Badminton Racket,Sports,Badminton Racket,28410,Croma
PROD00226,Aashirvaad Spices,Grocery,Spices,1347,Tata Consumer
PROD00227,Reliance Spices,Grocery,Spices,2579,Flipkart Seller
PROD00228,Puma Jeans,Fashion,Jeans,6417,Flipkart Seller
PROD00229,Samsung Face Wash,Beauty,Face Wash,3734,Amazon Seller
PROD00230,Tata Dumbbell,Sports,Dumbbell,2007,Croma
PROD00231,Adidas Rice,Grocery,Rice,1518,Croma
PROD00232,Puma Shampoo,Beauty,Shampoo,4451,Vijay Sales
PROD00233,Sony Novel,Books,Novel,867,Flipkart Seller
PROD00234,OnePlus Children Book,Books,Children Book,1136,Tata Consumer
PROD00235,Puma Novel,Books,Novel,2038,BigBasket
PROD00236,Tata Perfume,Beauty,Perfume,3911,BigBasket
PROD00237,Prestige Football,Sports,Football,14974,Croma
PROD00238,Godrej Biography,Books,Biography,1174,Tata Consumer
PROD00239,Bajaj Tea Powder,Grocery,Tea Powder,1625,Tata Consumer
PROD00240,Aashirvaad Laptop,Electronics,Laptop,99098,Godrej Consumer
PROD00241,Tata Dining Table,Home & Kitchen,Dining Table,43637,Vijay Sales
PROD00242,Mi Mixer Grinder,Home & Kitchen,Mixer Grinder,45444,Reliance Retail
PROD00243,Adidas Children Book,Books,Children Book,1092,Godrej Consumer
PROD00244,Puma Tea Powder,Grocery,Tea Powder,2657,DMart
PROD00245,,Books,Biography,547,Reliance Retail
PROD00246,Reliance Sofa,Home & Kitchen,Sofa,38482,Croma
PROD00247,Prestige Football,Sports,Football,10170,Croma
PROD00248,Sony Badminton Racket,Sports,Badminton Racket,7079,Amazon Seller
PROD00249,Amul Spices,Grocery,Spices,2224,ITC Limited
PROD00250,Nike Pressure Cooker,Home & Kitchen,Pressure Cooker,32078,BigBasket
PROD00251,Samsung Dumbbell,Sports,Dumbbell,15846,Flipkart Seller
PROD00252,Aashirvaad Women Dress,Fashion,Women Dress,7228,ITC Limited
PROD00253,Aashirvaad Mixer Grinder,Home & Kitchen,Mixer Grinder,1412,BigBasket
PROD00254,Dell Academic Book,Books,Academic Book,1659,BigBasket
PROD00255,Amul Children Book,Books,Children Book,593,DMart
PROD00256,OnePlus Face Wash,Beauty,Face Wash,4699,Croma
PROD00257,Prestige Novel,Books,Novel,2051,BigBasket
PROD00258,Samsung Badminton Racket,Sports,Badminton Racket,5080,Reliance Retail
PROD00259,HP Smart Watch,Electronics,Smart Watch,35440,Flipkart Seller
PROD00260,LG Handbag,Fashion,Handbag,3483,Tata Consumer
PROD00261,,Home & Kitchen,LED Lamp,38991,Amazon Seller
PROD00262,HP Face Wash,Beauty,Face Wash,3443,BigBasket
PROD00263,Bajaj Smart Watch,Electronics,Smart Watch,121230,Tata Consumer
PROD00264,Samsung Jeans,Fashion,Jeans,5917,Croma
PROD00265,Reliance Biography,Books,Biography,1780,BigBasket
PROD00266,Dell Men T-Shirt,fashion,Men T-Shirt,1050,DMart
PROD00267,Reliance Cricket Bat,Sports,Cricket Bat,26281,Croma
PROD00268,Mi Women Dress,Fashion,Women Dress,0,Flipkart Seller
PROD00269,Bajaj Spices,Grocery,Spices,2451,DMart
PROD00270,Boat Cooking Oil,Grocery,Cooking Oil,654,Godrej Consumer
PROD00271,LG Smart Watch,Electronics,Smart Watch,39076,ITC Limited
PROD00272,Samsung Pressure Cooker,Home & Kitchen,Pressure Cooker,43823,Reliance Retail
PROD00273,Amul Men T-Shirt,Fashion,Men T-Shirt,6771,DMart
PROD00274,Tata Biography,Books,Biography,863,BigBasket
PROD00275,Godrej Laptop,Electronics,Laptop,142910,Flipkart Seller
PROD00276,HP Cricket Bat,Sports,Cricket Bat,15189,Croma
PROD00277,Dell Academic Book,Books,Academic Book,2213,DMart
PROD00278,Lenovo Academic Book,Books,Academic Book,1385,Tata Consumer
PROD00279,Reliance Cricket Bat,Sports,Cricket Bat,16195,Vijay Sales
PROD00280,HP Face Wash,Beauty,Face Wash,3733,Flipkart Seller
PROD00281,OnePlus Smart Watch,Electronics,Smart Watch,43884,Flipkart Seller
PROD00282,OnePlus Jeans,Fashion,Jeans,5486,Godrej Consumer
PROD00283,Aashirvaad Biography,Books,Biography,2323,BigBasket
PROD00284,Samsung Lipstick,Beauty,Lipstick,1037,ITC Limited
PROD00285,Godrej Football,Sports,Football,15296,DMart
PROD00286,Dell Perfume,Beauty,Perfume,3366,Vijay Sales
PROD00287,Boat Cricket Bat,Sports,Cricket Bat,14484,Croma
PROD00288,Amul Dumbbell,Sports,Dumbbell,5501,Tata Consumer
PROD00289,Prestige Mobile,Electronics,Mobile,29439,Vijay Sales
PROD00290,LG Smart Watch,Electronics,Smart Watch,20723,Godrej Consumer
PROD00291,Samsung Biography,Books,Biography,1832,Croma
PROD00292,Reliance Biscuits,Grocery,Biscuits,1228,Godrej Consumer
PROD00293,Samsung Dining Table,Home & Kitchen,Dining Table,38374,ITC Limited
PROD00294,HP Women Dress,Fashion,Women Dress,2137,Flipkart Seller
PROD00295,Amul LED Lamp,Home & Kitchen,LED Lamp,8029,BigBasket
PROD00296,Godrej Novel,Books,Novel,2447,Godrej Consumer
PROD00297,OnePlus Academic Book,Books,Academic Book,1245,Reliance Retail
PROD00298,Adidas Jeans,Fashion,Jeans,7849,Croma
PROD00299,Sony Mixer Grinder,Home & Kitchen,Mixer Grinder,9888,Godrej Consumer
PROD00300,Prestige Badminton Racket,Sports,Badminton Racket,5148,Reliance Retail
PROD00301,Bajaj Television,Electronics,Television,103617,Vijay Sales
PROD00302,Sony Perfume,Beauty,Perfume,3131,BigBasket
PROD00303,Mi Dumbbell,Sports,Dumbbell,20037,Flipkart Seller
PROD00304,Sony Laptop,Electronics,Laptop,18044,Flipkart Seller
PROD00305,Godrej Sofa,Home & Kitchen,Sofa,32328,Godrej Consumer
PROD00306,Nike Lipstick,Beauty,Lipstick,1865,ITC Limited
PROD00307,Godrej Smart Watch,Electronics,Smart Watch,34069,BigBasket
PROD00308,Lenovo Badminton Racket,Sports,Badminton Racket,22360,BigBasket
PROD00309,Aashirvaad Laptop,Electronics,Laptop,19360,Reliance Retail
PROD00310,Bajaj Jeans,Fashion,Jeans,6586,Amazon Seller
PROD00311,Adidas Tea Powder,Grocery,Tea Powder,1393,Flipkart Seller
PROD00312,Godrej Headphones,Electronics,Headphones,51057,Amazon Seller
PROD00313,Lenovo Shampoo,Beauty,Shampoo,4677,Croma
PROD00314,Reliance Headphones,Electronics,Headphones,119352,Reliance Retail
PROD00315,Boat Face Wash,Beauty,Face Wash,4816,Vijay Sales
PROD00316,Godrej Children Book,Books,Children Book,1335,Flipkart Seller
PROD00317,Boat Face Wash,Beauty,Face Wash,1507,Godrej Consumer
PROD00318,Prestige Perfume,Beauty,Perfume,3677,Flipkart Seller
PROD00319,Mi Shoes,Fashion,Shoes,3580,ITC Limited
PROD00320,Adidas Headphones,Electronics,Headphones,94001,DMart
PROD00321,Prestige Pressure Cooker,Home & Kitchen,Pressure Cooker,33955,Flipkart Seller
PROD00322,Amul Novel,Books,Novel,1588,Amazon Seller
PROD00323,LG Men T-Shirt,Fashion,Men T-Shirt,2396,DMart
PROD00324,LG Handbag,Fashion,Handbag,6527,Flipkart Seller
PROD00325,Dell Shoes,Fashion,Shoes,6480,Godrej Consumer
PROD00326,Dell Spices,Grocery,Spices,2839,Godrej Consumer
PROD00327,Boat Dumbbell,Sports,Dumbbell,5446,Tata Consumer
PROD00328,Dell Headphones,Electronics,Headphones,84382,BigBasket
PROD00329,Amul Academic Book,Books,Academic Book,2228,Flipkart Seller
PROD00330,Dell Sofa,Home & Kitchen,Sofa,2964,Reliance Retail
PROD00331,Prestige Dining Table,Home & Kitchen,Dining Table,42748,Flipkart Seller
PROD00332,Dell Children Book,Books,Children Book,2420,Reliance Retail
PROD00333,Boat Shampoo,Beauty,Shampoo,3996,ITC Limited
PROD00334,Dell Men T-Shirt,Fashion,Men T-Shirt,1147,Croma
PROD00335,Lenovo Cricket Bat,Sports,Cricket Bat,21672,Amazon Seller
PROD00336,Dell Laptop,Electronics,Laptop,120191,ITC Limited
PROD00337,Amul Novel,Books,Novel,1677,BigBasket
PROD00338,Boat Lipstick,Beauty,Lipstick,4997,Reliance Retail
PROD00339,Prestige Tea Powder,Grocery,Tea Powder,1400,Flipkart Seller
PROD00340,Adidas Children Book,Books,Children Book,1182,Godrej Consumer
PROD00341,Boat Cooking Oil,Grocery,Cooking Oil,383,Godrej Consumer
PROD00342,Amul Football,Sports,Football,10665,Vijay Sales
PROD00343,Prestige Handbag,Fashion,Handbag,2836,ITC Limited
PROD00344,LG Perfume,Beauty,Perfume,4412,Flipkart Seller
PROD00345,Lenovo Badminton Racket,Sports,Badminton Racket,12356,Reliance Retail
PROD00346,Sony Dining Table,Home & Kitchen,Dining Table,14537,Croma
PROD00347,Bajaj Biscuits,Grocery,Biscuits,977,Amazon Seller
PROD00348,Adidas Men T-Shirt,Fashion,Men T-Shirt,7217,Flipkart Seller
PROD00349,Boat Academic Book,Books,Academic Book,686,Godrej Consumer
PROD00350,Sony Shampoo,Beauty,Shampoo,1581,Godrej Consumer
PROD00351,Dell Cooking Oil,Grocery,Cooking Oil,228,Vijay Sales
PROD00352,Dell Pressure Cooker,Home & Kitchen,Pressure Cooker,40515,BigBasket
PROD00353,Puma Biscuits,Grocery,Biscuits,2237,DMart
PROD00354,Bajaj Sofa,Home & Kitchen,Sofa,24606,Godrej Consumer
PROD00355,Adidas Lipstick,Beauty,Lipstick,3228,ITC Limited
PROD00356,Sony Children Book,Books,Children Book,967,Godrej Consumer
PROD00357,Reliance Jeans,Fashion,Jeans,5552,Tata Consumer
PROD00358,Apple Tea Powder,Grocery,Tea Powder,470,ITC Limited
PROD00359,Adidas Rice,Grocery,Rice,393,Amazon Seller
PROD00360,Lenovo Sofa,Home & Kitchen,Sofa,10156,Vijay Sales
PROD00361,Dell Laptop,Electronics,Laptop,-3213,Reliance Retail
PROD00362,Aashirvaad Face Wash,Beauty,Face Wash,4212,Croma
PROD00363,Prestige Shoes,Fashion,Shoes,3371,DMart
PROD00364,Samsung Smart Watch,Electronics,Smart Watch,92894,Amazon Seller
PROD00365,Adidas Men T-Shirt,Fashion,Men T-Shirt,7815,Tata Consumer
PROD00366,HP Football,Sports,Football,15199,Godrej Consumer
PROD00367,Tata Mobile,Electronics,Mobile,72088,DMart
PROD00368,Apple Cooking Oil,Grocery,Cooking Oil,2543,ITC Limited
PROD00369,Adidas Face Wash,Beauty,Face Wash,2046,BigBasket
PROD00370,Puma Mobile,Electronics,Mobile,115054,Godrej Consumer
PROD00371,Samsung Face Wash,Beauty,Face Wash,4194,Godrej Consumer
PROD00372,Lenovo Academic Book,Books,Academic Book,1140,Amazon Seller
PROD00373,Tata Sofa,Home & Kitchen,Sofa,40792,Croma
PROD00374,Godrej Handbag,Fashion,Handbag,1834,Flipkart Seller
PROD00375,Prestige Biography,Books,Biography,2304,ITC Limited
PROD00376,Aashirvaad Academic Book,Books,Academic Book,2075,Reliance Retail
PROD00377,Amul Badminton Racket,Sports,Badminton Racket,8811,Reliance Retail
PROD00378,Amul Mixer Grinder,Home & Kitchen,Mixer Grinder,16302,Flipkart Seller
PROD00379,Boat Spices,Grocery,Spices,596,Reliance Retail
PROD00380,Boat LED Lamp,Home & Kitchen,LED Lamp,42626,Amazon Seller
PROD00381,HP Biscuits,Grocery,Biscuits,2637,Amazon Seller
